City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,krasnooktyabrskiy,44.9328,38.3712,4.49,80,100,2.4,RU,1672365603
285,luganville,-15.5333,167.1667,30.32,69,65,1.42,VU,1672365604
286,georgetown,5.4112,100.3354,27.16,72,20,3.09,MY,1672365606
287,sur,22.5667,59.5289,21.45,54,0,7.42,OM,1672365606
288,lardos,36.0942,28.0157,12.9,77,11,2.26,GR,1672365607
289,atagay,55.1033,99.3875,-20.67,100,94,0.56,RU,1672365608
290,izyum,49.2088,37.2485,1.84,90,100,5.34,UA,1672365609
291,tevriz,57.509,72.4042,-28.19,100,100,1.08,RU,1672365610
292,ahuimanu,21.4447,-157.8378,26.22,68,75,0.45,US,1672365611
293,arsenyev,44.1631,133.2733,-14.95,87,47,0.53,RU,1672365612
294,udaipur,24.5712,73.6918,11.5,55,0,1.87,IN,1672365437
295,lynn haven,30.2455,-85.6483,15.59,76,7,0.45,US,1672365350
296,mogoytuy,51.2833,114.9167,-13.54,81,100,2.07,RU,1672365614
297,ambon,-3.6954,128.1814,29.08,70,40,1.54,ID,1672365615
298,chapais,49.7834,-74.8492,-3.12,99,100,3.68,CA,1672365616
299,jobner,26.9667,75.3833,12.68,38,0,2.02,IN,1672365617
300,kholtoson,50.2981,103.3097,-22.11,96,16,0.79,RU,1672365618
301,padang,-0.9492,100.3543,26.03,67,73,1.63,ID,1672365619
302,oktyabrskoye,43.0645,44.7417,-8.92,93,32,2.0,RU,1672365620
303,vao,-22.6667,167.4833,25.24,87,95,12.3,NC,1672365621
304,seeheim-jugenheim,49.765,8.6519,7.94,78,74,3.1,DE,1672365621
305,pangnirtung,66.1451,-65.7125,-26.12,100,100,0.51,CA,1672365623
306,sioux lookout,50.1001,-91.917,-4.96,100,100,0.0,CA,1672365347
307,ilulissat,69.2167,-51.1,-13.73,95,100,3.61,GL,1672365496
308,iqaluit,63.7506,-68.5145,-25.15,75,20,9.77,CA,1672365577
309,oyama,36.3,139.8,8.66,40,17,1.63,JP,1672365626
310,lyngdal,58.1376,7.07,6.11,85,99,6.91,NO,1672365627
311,vagur,61.4732,-6.8119,2.03,52,16,9.05,FO,1672365628
312,kidal,18.4411,1.4078,18.64,17,100,6.18,ML,1672365629
313,codrington,-38.2667,141.9667,20.36,67,59,5.13,AU,1672365629
314,cowra,-33.8333,148.6833,30.28,34,41,2.55,AU,1672365630
315,kulhudhuffushi,6.6221,73.07,27.37,77,100,7.22,MV,1672365631
316,mamallapuram,12.6264,80.1722,25.03,82,0,1.55,IN,1672365633
317,half moon bay,37.4636,-122.4286,13.03,95,100,3.5,US,1672365633
318,husavik,66.0449,-17.3389,-6.39,66,100,7.15,IS,1672365634
319,mariental,-24.6333,17.9667,23.22,34,12,4.31,NA,1672365635
320,kassala,15.451,36.4,20.09,68,5,2.39,SD,1672365636
321,alanya,36.5438,31.9998,14.04,45,0,2.35,TR,1672365637
322,bugojno,44.0572,17.4508,5.32,94,16,3.19,BA,1672365638
323,odweyne,9.4092,45.064,16.3,70,35,1.2,SO,1672365639
324,winslow,35.0242,-110.6974,6.35,64,100,5.09,US,1672365438
325,bonthe,7.5264,-12.505,25.25,84,17,2.36,SL,1672365640
326,nautla,20.2167,-96.7833,21.14,87,99,2.87,MX,1672365641
